Question_ID,Broad_Category,Sub_Topic,Question_String,Option_Label,Option_Text,Correct_Answer,Difficulty_Level,Explanation
MQ.3.003,Plan and Product Provisions,Market Assessment,"During the ""Market Assessment"" phase, which of the following is NOT typically analyzed?",C,The final construction of IT infrastructure,C,3,"Infrastructure is typically built during the ""Build"" phase, after the market assessment and design phases are complete. Market assessment focuses on consumer need, regulations, and competitors."
MQ.3.003,Plan and Product Provisions,Market Assessment,"During the ""Market Assessment"" phase, which of the following is NOT typically analyzed?",D,The product objective for the consumer,C,3,"Infrastructure is typically built during the ""Build"" phase, after the market assessment and design phases are complete. Market assessment focuses on consumer need, regulations, and competitors."
MQ.3.004,Plan and Product Provisions,Assess Phase,"In the ""Assess"" phase, if actual-to-expected studies reveal a product was underpriced, what specific liability might an actuary need to establish?",A,Incurred But Not Reported (IBNR) Reserve,B,4,A Premium Deficiency Reserve is required when future premiums and current reserves are insufficient to cover future claims and expenses. This is distinct from IBNR (past claims).
MQ.3.004,Plan and Product Provisions,Assess Phase,"In the ""Assess"" phase, if actual-to-expected studies reveal a product was underpriced, what specific liability might an actuary need to establish?",B,Premium Deficiency Reserve,B,4,A Premium Deficiency Reserve is required when future premiums and current reserves are insufficient to cover future claims and expenses. This is distinct from IBNR (past claims).
MQ.3.004,Plan and Product Provisions,Assess Phase,"In the ""Assess"" phase, if actual-to-expected studies reveal a product was underpriced, what specific liability might an actuary need to establish?",C,Rate Stabilization Reserve,B,4,A Premium Deficiency Reserve is required when future premiums and current reserves are insufficient to cover future claims and expenses. This is distinct from IBNR (past claims).
MQ.3.004,Plan and Product Provisions,Assess Phase,"In the ""Assess"" phase, if actual-to-expected studies reveal a product was underpriced, what specific liability might an actuary need to establish?",D,Profit Margin Reserve,B,4,A Premium Deficiency Reserve is required when future premiums and current reserves are insufficient to cover future claims and expenses. This is distinct from IBNR (past claims).
MQ.3.005,Plan and Product Provisions,Risks in Design,"A product team is designing a voluntary dental plan. To mitigate the high risk of antiselection inherent in this ""contribution requirement"" structure, what design feature would they most likely include?",A,100% employer contribution,C,5,"Since it is a voluntary plan (100% employee paid), the risk of antiselection is high. Common mitigation strategies include graduated benefits (increasing over years) or stricter waiting periods, not lowering deductibles or removing caps."
MQ.3.005,Plan and Product Provisions,Risks in Design,"A product team is designing a voluntary dental plan. To mitigate the high risk of antiselection inherent in this ""contribution requirement"" structure, what design feature would they most likely include?",B,Immediate coverage for all major services,C,5,"Since it is a voluntary plan (100% employee paid), the risk of antiselection is high. Common mitigation strategies include graduated benefits (increasing over years) or stricter waiting periods, not lowering deductibles or removing caps."
MQ.3.005,Plan and Product Provisions,Risks in Design,"A product team is designing a voluntary dental plan. To mitigate the high risk of antiselection inherent in this ""contribution requirement"" structure, what design feature would they most likely include?",C,Graduated benefits or extended waiting periods,C,5,"Since it is a voluntary plan (100% employee paid), the risk of antiselection is high. Common mitigation strategies include graduated benefits (increasing over years) or stricter waiting periods, not lowering deductibles or removing caps."
MQ.3.005,Plan and Product Provisions,Risks in Design,"A product team is designing a voluntary dental plan. To mitigate the high risk of antiselection inherent in this ""contribution requirement"" structure, what design feature would they most likely include?",D,Removal of annual benefit maximums,C,5,"Since it is a voluntary plan (100% employee paid), the risk of antiselection is high. Common mitigation strategies include graduated benefits (increasing over years) or stricter waiting periods, not lowering deductibles or removing caps."
MQ.3.006,Plan and Product Provisions,Team Roles,"Which cross-functional team is primarily responsible for performing feasibility studies, pricing, and reserving operations to ensure the product remains profitable?",A,Finance,C,2,"While Finance reviews ROI/ROE, the text specifies that the Actuarial team performs the projections, feasibility studies, pricing, and reserving operations."
MQ.3.006,Plan and Product Provisions,Team Roles,"Which cross-functional team is primarily responsible for performing feasibility studies, pricing, and reserving operations to ensure the product remains profitable?",B,Operations,C,2,"While Finance reviews ROI/ROE, the text specifies that the Actuarial team performs the projections, feasibility studies, pricing, and reserving operations."
MQ.3.006,Plan and Product Provisions,Team Roles,"Which cross-functional team is primarily responsible for performing feasibility studies, pricing, and reserving operations to ensure the product remains profitable?",C,Actuarial,C,2,"While Finance reviews ROI/ROE, the text specifies that the Actuarial team performs the projections, feasibility studies, pricing, and reserving operations."
MQ.3.006,Plan and Product Provisions,Team Roles,"Which cross-functional team is primarily responsible for performing feasibility studies, pricing, and reserving operations to ensure the product remains profitable?",D,Underwriting,C,2,"While Finance reviews ROI/ROE, the text specifies that the Actuarial team performs the projections, feasibility studies, pricing, and reserving operations."
MQ.3.007,Plan and Product Provisions,Building the Product,"When performing a financial assessment during the ""Build"" phase, how is Return on Investment (ROI) specifically defined?",A,Annual projected profit divided by the equity allocated to the product,B,3,ROI is defined as the lifetime projected profit divided by the total investment required to build and sell the product. (Option A describes Return on Equity/ROE). 1
MQ.3.007,Plan and Product Provisions,Building the Product,"When performing a financial assessment during the ""Build"" phase, how is Return on Investment (ROI) specifically defined?",B,Lifetime projected profit divided by the total investment required,B,3,ROI is defined as the lifetime projected profit divided by the total investment required to build and sell the product. (Option A describes Return on Equity/ROE). 2
MQ.3.007,Plan and Product Provisions,Building the Product,"When performing a financial assessment during the ""Build"" phase, how is Return on Investment (ROI) specifically defined?",C,The ratio of premium collected to claims paid in the first year,B,3,ROI is defined as the lifetime projected profit divided by the total investment required to build and sell the product. (Option A describes Return on Equity/ROE). 3
MQ.3.007,Plan and Product Provisions,Building the Product,"When performing a financial assessment during the ""Build"" phase, how is Return on Investment (ROI) specifically defined?",D,The break-even point where revenue equals fixed costs,B,3,ROI is defined as the lifetime projected profit divided by the total investment required to build and sell the product. (Option A describes Return on Equity/ROE). 4
MQ.3.008,Plan and Product Provisions,Pricing Strategy,"In the context of ""Price Targets,"" what does it mean when pricing is treated as an input to the process rather than an output?",A,"The team designs the features first, then calculates the necessary price",B,4,"When pricing is an input, the market dictates an acceptable price range, and the team must ""back into"" a plan design that meets profit targets at that price. 5"
MQ.3.008,Plan and Product Provisions,Pricing Strategy,"In the context of ""Price Targets,"" what does it mean when pricing is treated as an input to the process rather than an output?",B,"The team uses a market-acceptable price range to ""back into"" a plan design",B,4,"When pricing is an input, the market dictates an acceptable price range, and the team must ""back into"" a plan design that meets profit targets at that price. 6"
MQ.3.008,Plan and Product Provisions,Pricing Strategy,"In the context of ""Price Targets,"" what does it mean when pricing is treated as an input to the process rather than an output?",C,Pricing is determined solely by the finance department without actuarial input,B,4,"When pricing is an input, the market dictates an acceptable price range, and the team must ""back into"" a plan design that meets profit targets at that price. 7"
MQ.3.008,Plan and Product Provisions,Pricing Strategy,"In the context of ""Price Targets,"" what does it mean when pricing is treated as an input to the process rather than an output?",D,The price is set equal to the competitor's lowest rate minus 5%,B,4,"When pricing is an input, the market dictates an acceptable price range, and the team must ""back into"" a plan design that meets profit targets at that price. 8"
MQ.3.009,Plan and Product Provisions,Specific Line Considerations,"For Group Disability products, why is it critical to integrate the product with the plan sponsor's ""absence management"" policy?",A,To ensure compliance with the Affordable Care Act,B,4,"Disability policies often need adjustments based on how the employer handles sick days. For example, moving to a ""Paid Time Off"" (PTO) bank from separate sick days impacts the disability waiting period or definition. 9"
MQ.3.009,Plan and Product Provisions,Specific Line Considerations,"For Group Disability products, why is it critical to integrate the product with the plan sponsor's ""absence management"" policy?",B,"Changes to sick leave (e.g., PTO banks) may require adjustments to disability policy designs",B,4,"Disability policies often need adjustments based on how the employer handles sick days. For example, moving to a ""Paid Time Off"" (PTO) bank from separate sick days impacts the disability waiting period or definition. 10"
MQ.3.009,Plan and Product Provisions,Specific Line Considerations,"For Group Disability products, why is it critical to integrate the product with the plan sponsor's ""absence management"" policy?",C,Because disability benefits are taxable income for all employees,B,4,"Disability policies often need adjustments based on how the employer handles sick days. For example, moving to a ""Paid Time Off"" (PTO) bank from separate sick days impacts the disability waiting period or definition. 11"
MQ.3.009,Plan and Product Provisions,Specific Line Considerations,"For Group Disability products, why is it critical to integrate the product with the plan sponsor's ""absence management"" policy?",D,To reduce the employer's OPEB liability,B,4,"Disability policies often need adjustments based on how the employer handles sick days. For example, moving to a ""Paid Time Off"" (PTO) bank from separate sick days impacts the disability waiting period or definition. 12"
MQ.3.010,Plan and Product Provisions,Team Roles,"Which team provides critical insights on the feasibility of the infrastructure needed to administer a product and the risks of ""tarnished brand name"" due to service failures?",A,Operations,B,2,"The Information Technology (IT) team helps understand infrastructure feasibility and risks (e.g., if a product attracts more members than the system can handle, leading to aggravated customers). 13131313"
MQ.3.010,Plan and Product Provisions,Team Roles,"Which team provides critical insights on the feasibility of the infrastructure needed to administer a product and the risks of ""tarnished brand name"" due to service failures?",B,Information Technology (IT),B,2,"The Information Technology (IT) team helps understand infrastructure feasibility and risks (e.g., if a product attracts more members than the system can handle, leading to aggravated customers). 14141414"
MQ.3.010,Plan and Product Provisions,Team Roles,"Which team provides critical insights on the feasibility of the infrastructure needed to administer a product and the risks of ""tarnished brand name"" due to service failures?",C,Marketing,B,2,"The Information Technology (IT) team helps understand infrastructure feasibility and risks (e.g., if a product attracts more members than the system can handle, leading to aggravated customers). 15151515"
MQ.3.010,Plan and Product Provisions,Team Roles,"Which team provides critical insights on the feasibility of the infrastructure needed to administer a product and the risks of ""tarnished brand name"" due to service failures?",D,Compliance,B,2,"The Information Technology (IT) team helps understand infrastructure feasibility and risks (e.g., if a product attracts more members than the system can handle, leading to aggravated customers). 16161616"
MQ.3.011,Plan and Product Provisions,Specific Line Considerations,Plan sponsors offering Retiree Health Care Benefits must comply with accounting standards like ASC 715-60. What do these standards require them to report?,A,Imputed income for high earners,B,5,These standards require plan sponsors to measure and report their Other Post-Employment Benefit (OPEB) obligations. 17
MQ.3.011,Plan and Product Provisions,Specific Line Considerations,Plan sponsors offering Retiree Health Care Benefits must comply with accounting standards like ASC 715-60. What do these standards require them to report?,B,Other Post-Employment Benefit (OPEB) obligations,B,5,These standards require plan sponsors to measure and report their Other Post-Employment Benefit (OPEB) obligations. 18
MQ.3.011,Plan and Product Provisions,Specific Line Considerations,Plan sponsors offering Retiree Health Care Benefits must comply with accounting standards like ASC 715-60. What do these standards require them to report?,C,The loss ratio of the active employee population,B,5,These standards require plan sponsors to measure and report their Other Post-Employment Benefit (OPEB) obligations. 19
MQ.3.011,Plan and Product Provisions,Specific Line Considerations,Plan sponsors offering Retiree Health Care Benefits must comply with accounting standards like ASC 715-60. What do these standards require them to report?,D,The tax deductibility of premiums paid,B,5,These standards require plan sponsors to measure and report their Other Post-Employment Benefit (OPEB) obligations. 20
MQ.3.012,Plan and Product Provisions,Selling Phase,What is the primary purpose of Test Marketing a product before a mass market release?,A,To generate immediate high-volume sales revenue,B,2,"Test marketing is done to ensuring infrastructure is functional, incorporate consumer feedback, and refine pricing assumptions before the full rollout. 21"
MQ.3.012,Plan and Product Provisions,Selling Phase,What is the primary purpose of Test Marketing a product before a mass market release?,B,"To refine pricing, incorporate feedback, and test infrastructure",B,2,"Test marketing is done to ensuring infrastructure is functional, incorporate consumer feedback, and refine pricing assumptions before the full rollout. 22"
MQ.3.012,Plan and Product Provisions,Selling Phase,What is the primary purpose of Test Marketing a product before a mass market release?,C,To meet regulatory requirements for filing rates,B,2,"Test marketing is done to ensuring infrastructure is functional, incorporate consumer feedback, and refine pricing assumptions before the full rollout. 23"
MQ.3.012,Plan and Product Provisions,Selling Phase,What is the primary purpose of Test Marketing a product before a mass market release?,D,To undercut competitors' prices temporarily,B,2,"Test marketing is done to ensuring infrastructure is functional, incorporate consumer feedback, and refine pricing assumptions before the full rollout. 24"
MQ.3.013,Plan and Product Provisions,Drivers of Innovation,How do Marketing teams differ from Sales teams in the product development process?,A,Marketing focuses on specific customer sales; Sales focuses on branding,B,2,"Marketing focuses on general promotion, branding, and name recognition. Sales focuses on specific customers, closing deals, and has insight into price sensitivity. 25252525"
MQ.3.013,Plan and Product Provisions,Drivers of Innovation,How do Marketing teams differ from Sales teams in the product development process?,B,Marketing focuses on general promotion/branding; Sales focuses on specific customers/deals,B,2,"Marketing focuses on general promotion, branding, and name recognition. Sales focuses on specific customers, closing deals, and has insight into price sensitivity. 26262626"
MQ.3.013,Plan and Product Provisions,Drivers of Innovation,How do Marketing teams differ from Sales teams in the product development process?,C,Marketing sets the price; Sales sets the product features,B,2,"Marketing focuses on general promotion, branding, and name recognition. Sales focuses on specific customers, closing deals, and has insight into price sensitivity. 27272727"
MQ.3.013,Plan and Product Provisions,Drivers of Innovation,How do Marketing teams differ from Sales teams in the product development process?,D,There is no distinction; they perform the same function,B,2,"Marketing focuses on general promotion, branding, and name recognition. Sales focuses on specific customers, closing deals, and has insight into price sensitivity. 28282828"
MQ.3.014,Plan and Product Provisions,Building the Product,Why is projecting enrollment an iterative process involving both the marketing and pricing teams?,A,Because higher enrollment usually increases per-member fixed costs,B,3,"It is iterative because projected membership impacts pricing (spreading fixed costs over more members lowers the required price), and the resulting price then impacts the projected membership. 29292929"
MQ.3.014,Plan and Product Provisions,Building the Product,Why is projecting enrollment an iterative process involving both the marketing and pricing teams?,B,"Because projected membership impacts pricing (fixed cost spread), which in turn impacts membership",B,3,"It is iterative because projected membership impacts pricing (spreading fixed costs over more members lowers the required price), and the resulting price then impacts the projected membership. 30303030"
MQ.3.014,Plan and Product Provisions,Building the Product,Why is projecting enrollment an iterative process involving both the marketing and pricing teams?,C,Because regulators require two independent projections,B,3,"It is iterative because projected membership impacts pricing (spreading fixed costs over more members lowers the required price), and the resulting price then impacts the projected membership. 31313131"
MQ.3.014,Plan and Product Provisions,Building the Product,Why is projecting enrollment an iterative process involving both the marketing and pricing teams?,D,Because marketing teams cannot access historical data without pricing teams,B,3,"It is iterative because projected membership impacts pricing (spreading fixed costs over more members lowers the required price), and the resulting price then impacts the projected membership. 32323232"
MQ.3.015,Plan and Product Provisions,Idea Generation,Which of the following is NOT listed as a common driver of product ideas in Chapter 3?,A,Changing Laws and Regulations,D,1,"The text lists: Innovator vs Follower, Laws/Regulations, Consumer Demand, Marketing/Sales Demand, Leveraging Capabilities, Competitive Advantage, Tech Advances, Social Need, Demographics, and Economy. ""Global Climate Change"" is not explicitly listed as a distinct category in the ""Idea Generation"" list, though ""geography driven by climate"" is mentioned in strategy. 33333333333333"
MQ.3.015,Plan and Product Provisions,Idea Generation,Which of the following is NOT listed as a common driver of product ideas in Chapter 3?,B,Leveraging Insurer's Capabilities,D,1,"The text lists: Innovator vs Follower, Laws/Regulations, Consumer Demand, Marketing/Sales Demand, Leveraging Capabilities, Competitive Advantage, Tech Advances, Social Need, Demographics, and Economy. ""Global Climate Change"" is not explicitly listed as a distinct category in the ""Idea Generation"" list, though ""geography driven by climate"" is mentioned in strategy. 34343434343434"
MQ.3.015,Plan and Product Provisions,Idea Generation,Which of the following is NOT listed as a common driver of product ideas in Chapter 3?,C,Changing Demographics,D,1,"The text lists: Innovator vs Follower, Laws/Regulations, Consumer Demand, Marketing/Sales Demand, Leveraging Capabilities, Competitive Advantage, Tech Advances, Social Need, Demographics, and Economy. ""Global Climate Change"" is not explicitly listed as a distinct category in the ""Idea Generation"" list, though ""geography driven by climate"" is mentioned in strategy. 35353535353535"
MQ.3.015,Plan and Product Provisions,Idea Generation,Which of the following is listed as a common driver of product ideas in Chapter 3?,D,Changing Economy and Financial Markets,D,1,The text lists Changing Economy and Financial Markets as a driver because shifts change purchasers' views of their need for insurance. 36
MQ.3.016,Plan and Product Provisions,Assess Phase,"What is a ""Premium Deficiency Reserve""?",A,A reserve held for Incurred But Not Reported claims,B,3,"A Premium Deficiency Reserve is established when actual-to-expected studies show a product is underpriced, meaning future premiums + current reserves are insufficient to cover future claims/expenses. 37"
MQ.3.016,Plan and Product Provisions,Assess Phase,"What is a ""Premium Deficiency Reserve""?",B,A liability established when a product is found to be underpriced and future premiums are insufficient,B,3,"A Premium Deficiency Reserve is established when actual-to-expected studies show a product is underpriced, meaning future premiums + current reserves are insufficient to cover future claims/expenses. 38"
MQ.3.016,Plan and Product Provisions,Assess Phase,"What is a ""Premium Deficiency Reserve""?",C,A surplus fund used to lower future rate increases,B,3,"A Premium Deficiency Reserve is established when actual-to-expected studies show a product is underpriced, meaning future premiums + current reserves are insufficient to cover future claims/expenses. 39"
MQ.3.016,Plan and Product Provisions,Assess Phase,"What is a ""Premium Deficiency Reserve""?",D,A mandatory government fund for insolvent insurers,B,3,"A Premium Deficiency Reserve is established when actual-to-expected studies show a product is underpriced, meaning future premiums + current reserves are insufficient to cover future claims/expenses. 40"
MQ.20.001,Manual Rates,Data Sources,What is the primary internal data source used to systematically measure resources like staff time or computer systems used for specific functions?,A,The insurer's general ledger,B,1,The main internal data source for determining expense factors is a functional cost study1.
MQ.20.001,Manual Rates,Data Sources,What is the primary internal data source used to systematically measure resources like staff time or computer systems used for specific functions?,B,A functional cost study,B,1,The main internal data source for determining expense factors is a functional cost study2.
MQ.20.001,Manual Rates,Data Sources,What is the primary internal data source used to systematically measure resources like staff time or computer systems used for specific functions?,C,State rate filings,B,1,The main internal data source for determining expense factors is a functional cost study3.
MQ.20.001,Manual Rates,Data Sources,What is the primary internal data source used to systematically measure resources like staff time or computer systems used for specific functions?,D,Investment portfolio reports,B,1,The main internal data source for determining expense factors is a functional cost study4.
MQ.20.002,Manual Rates,Pricing Assumptions,"Which element of the gross premium is NOT typically considered a ""load"" on expected claim costs?",A,Premium taxes and assessments,D,1,"Gross premiums consist of expected claim costs loaded for taxes, expenses, and profit5555. Investment income is typically a credit (reduction) to the premium6."
MQ.20.002,Manual Rates,Pricing Assumptions,"Which element of the gross premium is NOT typically considered a ""load"" on expected claim costs?",B,Administrative and sales expenses,D,1,"Gross premiums consist of expected claim costs loaded for taxes, expenses, and profit7777. Investment income is typically a credit (reduction) to the premium8."
MQ.20.002,Manual Rates,Pricing Assumptions,"Which element of the gross premium is NOT typically considered a ""load"" on expected claim costs?",C,Contributions to surplus (profit),D,1,"Gross premiums consist of expected claim costs loaded for taxes, expenses, and profit9999. Investment income is typically a credit (reduction) to the premium10."
MQ.20.002,Manual Rates,Pricing Assumptions,"Which element of the gross premium is NOT typically considered a ""load"" on expected claim costs?",D,Investment income credit,D,1,"Gross premiums consist of expected claim costs loaded for taxes, expenses, and profit11111111. Investment income is typically a credit (reduction) to the premium12."
MQ.20.003,Manual Rates,Data Quality,"When using external sources for expense benchmarking, why is caution specifically recommended?",A,They only reflect past trends,B,3,External sources must be used cautiously because data may not be accurate and comparisons are distorted by different company definitions or accounting methods for expenses13.
MQ.20.003,Manual Rates,Data Quality,"When using external sources for expense benchmarking, why is caution specifically recommended?",B,Different companies define and account for expenses differently,B,3,External sources must be used cautiously because data may not be accurate and comparisons are distorted by different company definitions or accounting methods for expenses14.
MQ.20.003,Manual Rates,Data Quality,"When using external sources for expense benchmarking, why is caution specifically recommended?",C,Regulators prohibit using competitor pricing data,B,3,External sources must be used cautiously because data may not be accurate and comparisons are distorted by different company definitions or accounting methods for expenses15.
MQ.20.003,Manual Rates,Data Quality,"When using external sources for expense benchmarking, why is caution specifically recommended?",D,"External data is always on a cash basis, never incurred",B,3,External sources must be used cautiously because data may not be accurate and comparisons are distorted by different company definitions or accounting methods for expenses16.
MQ.20.004,Manual Rates,Administrative Expenses,An insurer chooses to ignore overhead expenses for a new product to offer a lower introductory price. This is known as:,A,Amortized pricing,B,2,"Pricing on the margin involves including only expenses associated directly with the new product, ignoring general overhead initially17."
MQ.20.004,Manual Rates,Administrative Expenses,An insurer chooses to ignore overhead expenses for a new product to offer a lower introductory price. This is known as:,B,Pricing on the margin,B,2,"Pricing on the margin involves including only expenses associated directly with the new product, ignoring general overhead initially18."
MQ.20.004,Manual Rates,Administrative Expenses,An insurer chooses to ignore overhead expenses for a new product to offer a lower introductory price. This is known as:,C,Functional allocation,B,2,"Pricing on the margin involves including only expenses associated directly with the new product, ignoring general overhead initially19."
MQ.20.004,Manual Rates,Administrative Expenses,An insurer chooses to ignore overhead expenses for a new product to offer a lower introductory price. This is known as:,D,Composite rating,B,2,"Pricing on the margin involves including only expenses associated directly with the new product, ignoring general overhead initially20."
MQ.20.005,Manual Rates,Expense Allocation,Which expense allocation method requires employees to record or estimate the time they spend on specific activities?,A,Activity-based allocation,B,3,Functional expense allocation requires surveying employees to determine how time is spent across various tasks21.
MQ.20.005,Manual Rates,Expense Allocation,Which expense allocation method requires employees to record or estimate the time they spend on specific activities?,B,Functional expense allocation,B,3,Functional expense allocation requires surveying employees to determine how time is spent across various tasks22.
MQ.20.005,Manual Rates,Expense Allocation,Which expense allocation method requires employees to record or estimate the time they spend on specific activities?,C,Marginal cost allocation,B,3,Functional expense allocation requires surveying employees to determine how time is spent across various tasks23.
MQ.20.005,Manual Rates,Expense Allocation,Which expense allocation method requires employees to record or estimate the time they spend on specific activities?,D,Experience-based allocation,B,3,Functional expense allocation requires surveying employees to determine how time is spent across various tasks24.
MQ.20.006,Manual Rates,Risk and Profit,"For small groups, what is the primary source of risk that profit and risk charges must cover?",A,Loss of a single jumbo customer,B,3,"For small groups, the insurer's risk is largely underestimating claims in the pricing of the pool due to mis-estimation or statistical fluctuations25."
MQ.20.006,Manual Rates,Risk and Profit,"For small groups, what is the primary source of risk that profit and risk charges must cover?",B,Underestimating claims in the pricing of the pool,B,3,"For small groups, the insurer's risk is largely underestimating claims in the pricing of the pool due to mis-estimation or statistical fluctuations26."
MQ.20.006,Manual Rates,Risk and Profit,"For small groups, what is the primary source of risk that profit and risk charges must cover?",C,Inadequate revenue to cover fixed expenses,B,3,"For small groups, the insurer's risk is largely underestimating claims in the pricing of the pool due to mis-estimation or statistical fluctuations27."
MQ.20.006,Manual Rates,Risk and Profit,"For small groups, what is the primary source of risk that profit and risk charges must cover?",D,Customers terminating while in a deficit position,B,3,"For small groups, the insurer's risk is largely underestimating claims in the pricing of the pool due to mis-estimation or statistical fluctuations28."
MQ.20.007,Manual Rates,Taxes and Fees,"According to the text, what happened to the ACA's federal health insurance assessment (annual fee) in December 2019?",A,It was increased to $15.5 billion,C,2,A federal spending bill in December 2019 repealed the annual fee starting in 202129.
MQ.20.007,Manual Rates,Taxes and Fees,"According to the text, what happened to the ACA's federal health insurance assessment (annual fee) in December 2019?",B,It was extended indefinitely,C,2,A federal spending bill in December 2019 repealed the annual fee starting in 202130.
MQ.20.007,Manual Rates,Taxes and Fees,"According to the text, what happened to the ACA's federal health insurance assessment (annual fee) in December 2019?",C,It was repealed starting in 2021,C,2,A federal spending bill in December 2019 repealed the annual fee starting in 202131.
MQ.20.007,Manual Rates,Taxes and Fees,"According to the text, what happened to the ACA's federal health insurance assessment (annual fee) in December 2019?",D,It was shifted to apply only to self-insured groups,C,2,A federal spending bill in December 2019 repealed the annual fee starting in 202132.
MQ.20.008,Manual Rates,Rating Factors,"Why is it critical for an actuary to monitor the use of ""underwriting discretion"" when developing rates?",A,To ensure compliance with ACA age curves,D,4,"Actuaries must monitor discretion to reflect its impact in profit and risk margin assumptions, ensuring deviations from tools don't erode target margins33."
MQ.20.008,Manual Rates,Rating Factors,"Why is it critical for an actuary to monitor the use of ""underwriting discretion"" when developing rates?",B,To report senior underwriters to regulators,D,4,"Actuaries must monitor discretion to reflect its impact in profit and risk margin assumptions, ensuring deviations from tools don't erode target margins34."
MQ.20.008,Manual Rates,Rating Factors,"Why is it critical for an actuary to monitor the use of ""underwriting discretion"" when developing rates?",C,To eliminate geographic rating factors,D,4,"Actuaries must monitor discretion to reflect its impact in profit and risk margin assumptions, ensuring deviations from tools don't erode target margins35."
MQ.20.008,Manual Rates,Rating Factors,"Why is it critical for an actuary to monitor the use of ""underwriting discretion"" when developing rates?",D,To reflect its impact in the profit and risk margin assumptions,D,4,"Actuaries must monitor discretion to reflect its impact in profit and risk margin assumptions, ensuring deviations from tools don't erode target margins36."
MQ.20.009,Manual Rates,Investment Earnings,"If an insurer allows an insured customer to hold its own medical claim reserves, what is the typical pricing response?",A,Manual rates are decreased,C,4,"When customers hold their own reserves, the insurer loses investment earnings. To compensate, administrative fees are often increased37373737."
MQ.20.009,Manual Rates,Investment Earnings,"If an insurer allows an insured customer to hold its own medical claim reserves, what is the typical pricing response?",B,Risk and profit charges are eliminated,C,4,"When customers hold their own reserves, the insurer loses investment earnings. To compensate, administrative fees are often increased38383838."
MQ.20.009,Manual Rates,Investment Earnings,"If an insurer allows an insured customer to hold its own medical claim reserves, what is the typical pricing response?",C,Administrative fees are increased,C,4,"When customers hold their own reserves, the insurer loses investment earnings. To compensate, administrative fees are often increased39393939."
MQ.20.009,Manual Rates,Investment Earnings,"If an insurer allows an insured customer to hold its own medical claim reserves, what is the typical pricing response?",D,Target loss ratios are increased,C,4,"When customers hold their own reserves, the insurer loses investment earnings. To compensate, administrative fees are often increased40404040."
MQ.20.010,Manual Rates,Administrative Expenses,"What is the main pricing risk associated with ""amortizing"" first-year or product development expenses?",A,It violates federal income tax rules,B,5,"Amortization can result in unrealistically low initial premiums, necessitating large rate increases later to maintain viability41414141."
